Магазин,Категория,Название,Цена,Цена без скидки,Ссылка,Изображение
Ригла,Дермакосметика,Левомеколь мазь 40г,291.0,291.0,https://www.rigla.ru/product/levomekol-maz-40g-49549,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/49549-f-a-e-0-fae0a6b453d974fc5abee629c2080e6b83ae84d8_49549.jpeg
Ригла,Дермакосметика,Ацикловир-АКОС мазь 5% 10г,62.5,62.5,https://www.rigla.ru/product/atsiklovir-akos-maz-5-10g-109901,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/109901-8-3-9-b-839b7f2ff8e7a63a4fecd4a51f50155668be2c43_109901.jpg
Ригла,Дермакосметика,"Левомеколь мазь для наружного применения 0,04 / г+0,0075 / г 10г",256.0,256.0,https://www.rigla.ru/product/levomekol-maz-dlya-nar-prim-004g00075g-10g-126625,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/2/126625-2-8-4-b-284bb53fa398446b7e5ef16bbb06c14cb244a235_126625.jpeg
Ригла,Дермакосметика,Меновазин раствор для наружного применения спиртовой 40мл,66.5,66.5,https://www.rigla.ru/product/menovazin-r-r-dnaruzh-prim-spirtovoy-40ml-441374,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/441374-e-0-3-b-e03b8d306b38b0973bd79711e8ed4e07d9e7bd97_441374.jpg
Ригла,Дермакосметика,Меновазин раствор для наружного применения спиртовой флакон-устройством 40мл,122.0,122.0,https://www.rigla.ru/product/menovazin-r-r-dnar-prim-spirtovoy-fl-sprey-40ml-4999987,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4999987-9-3-7-e-937ee0e42ebe765749dae080ca5ca59d4230c60a_4999987.jpg
Ригла,Дермакосметика,Диклофенак гель 5% 100г,689.0,689.0,https://www.rigla.ru/product/diklofenak-akos-gel-5-100g-4476983,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/4476983-a-5-8-5-a5853f07b51b4f7a588b09bcc4bfa7390aee1d9b_4476983.jpg
Ригла,Дермакосметика,"Синафлан мазь 0,025% 15г",171.0,171.0,https://www.rigla.ru/product/sinaflan-maz-0025-15g-93435,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/3/93435-4-3-e-b-43ebc418e42703871e75648a2b07d9c0a23b0795_93435.jpg
Ригла,Дермакосметика,Сотрет капсулы 20мг №30,3635.0,3635.0,https://www.rigla.ru/product/sotret-kaps-20mg-no30-85857,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/5/85857-4-9-3-0-49301aea5807eb57dea42b427fb427df4a59174c_85857.jpg
Ригла,Дермакосметика,Ацикловир-Белупо крем 5% 10г,84.5,84.5,https://www.rigla.ru/product/atsiklovir-belupo-krem-5-10g-35016,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/5/35016-a-8-e-9-a8e9cdb0761f63f645d3e6b11e32a0ed39d3c17e_35016.jpg
Ригла,Дермакосметика,Теймурова паста 30г,101.0,101.0,https://www.rigla.ru/product/teymurova-pasta-30g-5007020,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5007020-3-8-6-d-386d4555e79541aaa2116779d6089a23ed447837_5007020.jpg
